Protein(g),Carbs(g),Fat(g),Diet_type_mediterranean,Diet_type_vegan,Cuisine_Group_Amerika,Cuisine_Group_Eropa,Cluster_DBSCAN
0.4094157037279,0.36259417678094535,0.8385141622659625,0.0,1.0,1.0,0.0,0
0.18921236372545017,0.2749202075688821,0.20001200192030727,0.0,1.0,1.0,0.0,0
0.23380017149156831,0.49801333130685893,0.11089774363898225,0.0,1.0,1.0,0.0,0
0.022498060512024822,0.15361400004342446,0.04839774363898224,0.0,1.0,1.0,0.0,0
0.10669225429749703,0.33363006709077886,0.04701752280364859,0.0,1.0,1.0,0.0,0
0.14107223061532806,0.21078229150834837,0.0922347575612098,0.0,1.0,1.0,0.0,0
0.46694704177044627,0.8451484030657663,0.08434349495919348,0.0,1.0,1.0,0.0,0
0.22534808705238657,0.21703541264085807,0.1994119059049448,0.0,1.0,1.0,0.0,0
0.15258666448899594,0.2162971969516035,0.12845055208833414,0.0,1.0,1.0,0.0,0
0.14666612224898942,0.48563736239876676,0.21552448391742682,0.0,1.0,1.0,0.0,0
0.14372626679188275,0.8802787849838245,0.38847215554488723,0.0,1.0,0.0,1.0,1
0.2354742558490874,0.2879692554877652,0.21879500720115222,0.0,1.0,1.0,0.0,0
0.13878567637091177,0.3435525544434071,0.21975516082573213,0.0,1.0,1.0,0.0,0
0.072312277979666,0.21571096684543067,0.096675468074892,0.0,1.0,1.0,0.0,0
0.13870401371932545,0.9162559437219099,0.45535285645703316,0.0,1.0,1.0,0.0,0
0.16993997795108406,0.2590702824760623,0.21489438310129624,0.0,1.0,1.0,0.0,0
0.2921889673757707,0.6740343487417765,0.1188190110417667,0.0,1.0,1.0,0.0,0
0.21648768935527338,0.4818594350478755,0.20481277004320694,0.0,1.0,1.0,0.0,0
0.26887428034788285,0.705256529952016,0.45829332693230923,0.0,1.0,1.0,0.0,0
0.11212282062798579,0.9727728684021972,0.3935129620739319,0.0,1.0,1.0,0.0,0
0.058837940467926994,0.8927198905703803,0.19452112337974078,0.0,1.0,1.0,0.0,0
0.16463190559797475,0.47150270317215626,0.42465794527124345,0.0,1.0,1.0,0.0,0
0.16393777305949123,0.2964587359141933,0.05466874699951992,0.0,1.0,1.0,0.0,0
0.21391531583030501,0.5722691447554118,0.14300288046087375,0.0,1.0,1.0,0.0,0
